index,Key,Year,subject,bat_species,Bat_names (following current nomemclature),Bat Family,Virus,Virus Family,Bioregions,BIOG-Support
291,CUMAFTKI,1966,bat,Eptesicus fuscus,Eptesicus fuscus,Vespertilionodae,JEV,Flaviviridae,Y,circulation in NA
292,CUMAFTKI,1966,bat,Eptesicus fuscus,Eptesicus fuscus,Vespertilionodae,SLEV,Flaviviridae,Y,circulation in NA
293,AJI6627G,1966,bat,Eptesicus fuscus,Eptesicus fuscus,Vespertilionodae,JEV,Flaviviridae,Y,circulation in NA
294,M44LKI5U,1964,bat,Tadarida brasiliensis,Tadarida brasiliensis,Molossidae,JEV,Flaviviridae,Y,circulation in NA
295,SXSZZW4B,1963,bat,Tadarida brasiliensis,Tadarida brasiliensis,Molossidae,RABV,Rhabdoviridae,Y,circulation in NA
296,2Z262VM6,1963,bat,Tadarida brasiliensis,Tadarida brasiliensis,Molossidae,JEV,Flaviviridae,Y,circulation in NA
297,2Z262VM6,1963,bat,Tadarida brasiliensis,Tadarida brasiliensis,Molossidae,SLEV,Flaviviridae,Y,circulation in NA
298,2Z262VM6,1963,bat,Myotis lucifugus,Myotis lucifugus,Vespertilionodae,JEV,Flaviviridae,Y,circulation in NA
299,2Z262VM6,1963,bat,Myotis lucifugus,Myotis lucifugus,Vespertilionodae,SLEV,Flaviviridae,Y,circulation in NA
300,2Z262VM6,1963,bat,Eptesicus fuscus,Eptesicus fuscus,Vespertilionodae,JEV,Flaviviridae,Y,circulation in NA
301,2Z262VM6,1963,bat,Eptesicus fuscus,Eptesicus fuscus,Vespertilionodae,SLEV,Flaviviridae,Y,circulation in NA
302,L35G8RD8,1961,bat,Eptesicus fuscus,Eptesicus fuscus,Vespertilionodae,CVB3 (Coxsackie B-3),Picornaviridae,Y,cosmopolitan pathogen
303,I8H44X74,1960,bat,Tadarida brasiliensis,Tadarida brasiliensis,Molossidae,RABV,Rhabdoviridae,Y,circulation in NA and LA
304,I8H44X74,1960,bat,Myotis lucifugus,Myotis lucifugus,Vespertilionodae,RABV,Rhabdoviridae,Y,circulation in NA and LA
305,DRMVWQ6L,1959,bat,Tadarida brasiliensis,Tadarida brasiliensis,Molossidae,RABV,Rhabdoviridae,Y,circulation in NA and LA
306,DRMVWQ6L,1959,bat,Myotis lucifugus,Myotis lucifugus,Vespertilionodae,RABV,Rhabdoviridae,Y,circulation in NA and LA
307,HH247B7W,1958,bat,Tadarida brasiliensis,Tadarida brasiliensis,Molossidae,RABV,Rhabdoviridae,Y,circulation in NA and LA
308,HH247B7W,1958,bat,Antrozous pallidus,Antrozous pallidus,Vespertilionodae,RABV,Rhabdoviridae,Y,circulation in NA and LA
309,PHV68WVN,1957,bat,Tadarida brasiliensis,Tadarida brasiliensis,Molossidae,RABV,Rhabdoviridae,Y,circulation in NA and LA
310,4WQVA2QI,1956,bat,Myotis lucifugus,Myotis lucifugus,Vespertilionodae,RABV,Rhabdoviridae,Y,circulation in NA and LA
311,4WQVA2QI,1956,bat,Pipistrellus subflavus,Perimyotis subflavus,Vespertilionodae,RABV,Rhabdoviridae,Y,circulation in NA and LA
312,4WQVA2QI,1956,bat,Eptesicus fuscus,Eptesicus fuscus,Vespertilionodae,RABV,Rhabdoviridae,Y,circulation in NA and LA
313,DDCPD7NX,1950,bat,Myotis lucifugus,Myotis lucifugus,Vespertilionodae,NDV,Paramyxoviridae,Y,Circulating in areas where virus is endemic
